Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
1648,Yes,No,Saudi Arabia,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",QA or test developer,12-14 years,15-17 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8,10,7,2,1,3,9,5,4,6,1,6,11,9,7,10,5,2,8,3,4,4,1,5,3,2,1,3,7,2,4,6,5,I did not receive an expected change in compensation,NA,NA,Monthly,NA,SAR,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",Six to nine months,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,NA,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Groovy;Java;JavaScript;Perl;Python;SQL;HTML;CSS;Bash/Shell,Go;Groovy;Java;JavaScript;Perl;Python;SQL;Swift;TypeScript;Kotlin;HTML;CSS;Bash/Shell,MySQL;Oracle,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;Elasticsearch,Linux;Mac OS;SharePoint,Android;AWS;iOS;Linux;Mac OS;Raspberry Pi;SharePoint;WordPress,NA,Angular;Hadoop;Node.js;Xamarin;Spring,Eclipse;Notepad++;Vim;Visual Studio Code,MacOS,1,Agile;Scrum,Subversion,Less than once per month,I'm not sure/I don't know,NA,NA,Strongly agree,Strongly agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),7,5,3,1,4,6,2,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,Prominent industry leaders,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Less than once per month or monthly,No,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,Yes,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 5:00 - 6:00 AM,5 - 8 hours,1 - 2 hours,1 - 2 times per week,Ergonomic keyboard or mouse,I don't typically exercise,Male,NA,They never completed any formal education,NA,35 - 44 years old,Yes,NA,The survey was too long,Somewhat easy
2122,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Designer;Front-end developer;Full-stack developer,3-5 years,3-5 years,Slightly satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,3,2,7,4,1,5,9,6,10,8,1,11,2,5,6,10,8,7,9,3,4,3,1,5,2,4,4,5,2,6,3,1,7,My job status or other personal status changed,NA,NA,Monthly,NA,SAR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable,Agree,Agree,Strongly disagree,C#;JavaScript;SQL;TypeScript;VB.NET;HTML;CSS,C#;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS,SQL Server;MySQL,SQL Server;Oracle,WordPress,Android;Azure;iOS;Linux;WordPress,.NET Core,.NET Core;Hadoop;Node.js;React,Visual Studio,Windows,1,Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Pair programming,Team Foundation Version Control,Multiple times per day,No,NA,NA,Strongly agree,Somewhat disagree,Neither agree nor disagree,NA,1,3,4,5,6,2,7,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,Prominent industry leaders,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, and publicly",The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Not at all interested,A little bit interested,A little bit interested,Extremely interested,Extremely interested,Between 5:00 - 6:00 AM,9 - 12 hours,Less than 30 minutes,3 - 4 times per week,Fatigue-relieving floor mat,I don't typically exercise,Female,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,25 - 34 years old,No,NA,The survey was too long,Somewhat easy
3299,Yes,Yes,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Full-stack developer,6-8 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Java;JavaScript;SQL;HTML;CSS,NA,SQL Server;MySQL;Oracle;Apache HBase,MongoDB,Windows Desktop or Server,AWS,Spring,Angular;Node.js,Eclipse;Notepad++,Windows,1,Agile;Scrum,Subversion,Multiple times per day,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3532,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,6-8 years,0-2 years,Slightly dissatisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Between 2 and 4 years ago,8,1,10,2,7,9,6,5,4,3,1,8,2,11,5,9,7,3,10,6,4,1,3,4,5,2,2,4,7,1,5,3,6,A recruiter contacted me,U.S. dollars ($),3200,Monthly,38400,USD,"Facebook;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",One to three months,"Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,NA,Strongly agree,Disagree,Strongly disagree,C++;C#;Java;JavaScript;Objective-C;SQL;TypeScript;VB.NET;HTML;CSS,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS,SQL Server;MySQL;SQLite;Oracle,SQL Server;SQLite,Android;Arduino;iOS;Windows Desktop or Server;Windows Phone,Android;Arduino;iOS;Windows Desktop or Server;Windows Phone,Angular;.NET Core;Node.js;Xamarin,Angular;.NET Core;Node.js;Xamarin,Android Studio;Eclipse;Visual Studio;Visual Studio Code,Windows,2,Scrum,Git;Team Foundation Version Control,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;I wanted to support the website I was visiting by viewing their ads,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,NA,4,7,5,2,3,1,6,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The developer who wrote it,Yes,6,A few times per week,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",5,Yes,Somewhat interested,Not at all interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,NA,3 - 4 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",Middle Eastern,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
5436,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Full-stack developer;QA or test developer,6-8 years,3-5 years,Moderately dissatisfied,Neither satisfied nor dissatisfied,Working as a product manager or project manager,I am actively looking for a job,Between 1 and 2 years ago,8,7,6,4,5,1,10,3,9,2,2,7,11,10,1,4,3,5,9,8,6,NA,NA,NA,NA,NA,6,2,1,5,3,4,7,A friend told me about a job opportunity,U.S. dollars ($),NA,NA,NA,NA,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To help me find new job opportunities;Because I find it enjoyable",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,C;C++;C#;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,C++;C#;JavaScript;Python;Rust;SQL,SQL Server;MySQL,SQL Server;MySQL,Arduino;Mac OS;Windows Desktop or Server;WordPress,Linux;Mac OS;Raspberry Pi,Angular;.NET Core;Django,.NET Core;Node.js;React;TensorFlow,Atom;Sublime Text;Visual Studio;Visual Studio Code,Windows,1,NA,Git;Team Foundation Version Control;Copying and pasting files to network shares,Once a day,Yes,Yes,The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat disagree,Somewhat disagree,Strongly agree,Stopped going to a website because of their advertising,5,1,4,2,6,7,3,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,I'm not sure,A little bit interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Daily or almost every day,NA,3 - 4 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",Middle Eastern;White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Neither easy nor difficult
6770,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Product manager;System administrator,15-17 years,12-14 years,Moderately dissatisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,More than 4 years ago,6,8,7,2,3,1,10,5,9,4,1,5,2,9,8,3,7,11,6,10,4,3,1,4,2,5,5,7,3,1,2,6,4,I received bad news about the future of my company or department,NA,NA,NA,NA,NA,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",More than a year,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",NA,To improve my general technical skills or programming ability;To help me find new job opportunities,Strongly agree,Disagree,Strongly disagree,C;C++;C#;Java;JavaScript;SQL;HTML;CSS,C;C++;C#;Go;Java;JavaScript;Objective-C;Python;R;Scala;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell,NA,MongoDB;Memcached;Neo4j,NA,Android;Arduino;AWS;IBM Cloud or Watson;iOS;Linux;Raspberry Pi,NA,Hadoop;Node.js;Spark;Spring;TensorFlow,Eclipse;Notepad++,Windows,1,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies),NA,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat agree,Strongly agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),2,1,4,5,3,7,6,Algorithms making important decisions,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The developer who wrote it,Yes,10 (Very Likely),A few times per week,Yes,A few times per month or weekly,Yes,"No, I know what it is but I don't have one",10 (Very Likely),Yes,Somewhat interested,A little bit interested,Very interested,Very interested,Very interested,Between 7:01 - 8:00 AM,Over 12 hours,1 - 2 hours,Daily or almost every day,NA,I don't typically exercise,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",Middle Eastern,35 - 44 years old,Yes,NA,The survey was an appropriate length,Very easy
6789,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;Full-stack developer,6-8 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,1,6,4,2,5,7,10,8,9,3,1,2,5,10,3,9,7,6,11,8,4,2,4,5,1,3,1,2,5,3,6,7,4,A friend told me about a job opportunity,U.S. dollars ($),4533,Monthly,54396,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,C++;Java;JavaScript;Python;R;SQL;HTML;CSS;Bash/Shell,SQL Server,Redis;MySQL,AWS;Google Cloud Platform/App Engine;iOS;Linux;Mac OS,Google Cloud Platform/App Engine;iOS;Linux;Mac OS,Angular;Node.js;React;Spring;TensorFlow,Node.js;React;Spring;TensorFlow,IntelliJ;IPython / Jupyter;Vim;Visual Studio Code,Windows,2,Agile,NA,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website,Neither agree nor disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising,4,2,6,1,3,5,7,Increasing automation of jobs,"Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Yes,Yes,10 (Very Likely),Yes,Not at all interested,Not at all interested,A little bit interested,Somewhat interested,Very interested,Between 5:00 - 6:00 AM,Over 12 hours,Over 4 hours,3 - 4 times per week,Ergonomic keyboard or mouse,3 - 4 times per week,Male,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,25 - 34 years old,No,NA,The survey was too long,Somewhat difficult
7749,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,10,5,4,1,2,6,8,7,9,3,1,11,2,9,6,3,10,5,8,7,4,2,1,5,3,4,1,3,5,2,7,6,4,A recruiter contacted me,NA,20000,Monthly,63996,SAR,Slack;Trello,One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,NA,To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable,Strongly agree,Agree,Neither Agree nor Disagree,Java;Python;SQL;TypeScript;Kotlin,SQL;TypeScript;Kotlin,NA,NA,Android;Serverless;Firebase,Android;Serverless;Firebase,NA,React,Android Studio;IntelliJ;PyCharm;Visual Studio Code,MacOS,1,Agile,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat disagree,Strongly agree,Stopped going to a website because of their advertising,1,3,2,4,5,6,7,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,9,Multiple times per day,Yes,Less than once per month or monthly,Yes,Yes,9,Yes,Very interested,A little bit interested,Very interested,Very interested,Extremely interested,Between 8:01 - 9:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,3 - 4 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",Middle Eastern,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
8553,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,6-8 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Less than a year ago,9,7,4,1,2,3,6,5,8,10,1,7,3,5,4,11,10,2,9,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8859,Yes,Yes,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Desktop or enterprise applications developer;Full-stack developer,15-17 years,9-11 years,Moderately satisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,3,2,8,4,7,1,10,5,9,6,1,11,3,10,5,9,6,8,4,7,2,1,3,4,5,2,5,3,2,4,1,6,7,My job status or other personal status changed,NA,270000,NA,NA,NA,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;The technology’s online help system,NA,NA,Neither Agree nor Disagree,Strongly agree,Strongly disagree,Assembly;C;C++;C#;Java;JavaScript;Matlab;Objective-C;TypeScript;VBA;Delphi/Object Pascal;HTML;CSS,C#;Java;JavaScript;TypeScript;HTML;CSS,SQL Server;MySQL,MongoDB;Google Cloud Storage,Google Cloud Platform/App Engine;Windows Phone;Firebase,Google Cloud Platform/App Engine;Firebase,Angular;.NET Core;Node.js;Cordova;Spring,Angular;Cordova,Eclipse;Notepad++;Visual Studio;Visual Studio Code,Windows,2,Mob programming,Git;I don't use version control,NA,Yes,I'm not sure/I can't remember,NA,Strongly disagree,Somewhat disagree,Strongly agree,Stopped going to a website because of their advertising,2,5,4,3,1,6,7,NA,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",A governmental or other regulatory body,"I don't care about it, or I haven't thought about it.",No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",9,Yes,Very interested,A little bit interested,A little bit interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,Fatigue-relieving floor mat;Wrist/hand supports or braces,I don't typically exercise,Male,Straight or heterosexual,Primary/elementary school,NA,35 - 44 years old,Yes,NA,The survey was an appropriate length,Very easy
